Research ID,Gender,Gender_3_TEXT,Age,Ethnicity,Ethnicity_9_TEXT,XR Experience,Joystick Experience,Activities_1,Activities_2,Play,Devices,Devices_5_TEXT,Genres,Genres_15_TEXT,Why - Liked games,No games,O1 Seen,O1 Confidence_1,O2 Seen,O2 Confidence_1,O3 Seen,O3 Confidence_1,O4 Seen,O4 Confidence_1,O5 Seen,O5 Confidence_1,O6 Seen,O6 Confidence_1,D1 Seen,D1 Confidence_1,D2 Seen,D2 Confidence_1,D3 Seen,D3 Confidence_1,D4 Seen,D4 Confidence_1,D5 Seen,D5 Confidence_1,D6 Seen,D6 Confidence_1,D7 Seen,D7 Confidence_1,D8 Seen,D8 Confidence_1,D9 Seen,D9 Confidence_1,D10 Seen,D10 Confidence_1,D11 Seen,D11 Confidence_1,D12 Seen,D12 Confidence_1,Additional Objects,Agreements_1,Agreements_2,Agreements_3,Most liked,Most disliked,Biggest limitations,Suggestions
What is your research ID? (Ask one of the researchers if unsure),What is your gender? - Selected Choice,What is your gender? - Another Gender: - Text,What is your age in years?,Which ethnic group do you belong to? Mark the box or boxes that apply to you. - Selected Choice,"Which ethnic group do you belong to? Mark the box or boxes that apply to you. - Other (such as Dutch, Japanese, Tokelauan). Please specify: - Text","Which category best describes your past experience with Virtual Reality, Augmented Reality, or Mixed Reality applications?",Which category best describes your past experience using a controller with a joystick?,"In day-to-day life, how much do you enjoy the following activities? - Walking","In day-to-day life, how much do you enjoy the following activities? - Visiting Museums",Do you play videogames (on any electronic device)?,What devices do you typically use to play games on? - Selected Choice,What devices do you typically use to play games on? - Other - Text,What genre of games do you typically play? - Selected Choice,What genre of games do you typically play? - Other - Text,Why do you like playing these genres of games?,Why do you not play videogames?,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Did you encounter this object in the museum?,Are you sure? - Confidence,Please list as many of the other objects you encountered in the museum.,How much do you agree with the following statements? - I found it easy to navigate the museum,How much do you agree with the following statements? - I found it easy to remember objects in the museum,How much do you agree with the following statements? - I found it easy to map out the rooms of the museum,What did you like most about the application?,What did you dislike most about the application?,What were the biggest limitations of the application?,What improvements would you like to see in the application?
Number,MCQ,Textbox,Number,MSQ,Textbox,"MCQ: ""0 times"", ""1-2 times"", ""3 or more times""","MCQ: ""0 times"", ""1-2 times"", ""3 or more times""","Likert (1 to 5, negated)","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""",,,,,,,"MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)","MCQ: ""Yes"", ""No""","Likert (1 to 5, negated)",Textbox,"Likert (1 to 5, negated)","Likert (1 to 5, negated)","Likert (1 to 5, negated)",Textbox,Textbox,Textbox,Textbox
"{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_3_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_9_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_5_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_15_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID93_2""}","{""ImportId"":""QID93_3""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}"
1,Female,,19,Chinese,,1-2 times,3 or more times,-3,-3,Yes,"PC,Mobile",,"Adventure,Puzzle",,I like exploring and patterns,,No,-3,No,-4,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-4,No,-5,No,-5,Yes,-3,No,-5,No,-4,No,-4,No,-5,No,-5,No,-5,No,-5,Yes,-4,"boat and water, volcano thingy, mona lisa, clocks, ",-2,-4,-1,The colours weren't harsh on eyes?,When the next room was too dark/ didn't load so was hesitant to enter it ,"Not sure, don't know much about VR",Not sure
0,Female,,19,Indian,,1-2 times,0 times,-3,-5,No,,,,,,Just not something I'm interested in or have time for essentially.,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-3,No,-4,No,-4,No,-2,No,-4,No,-4,No,-3,No,-3,No,-2,No,-2,No,-2,No,-4,"A sarcophagus, A cherry blossom tree, The blue cube with the among us figurine in it, A leaf with a ladybug on it, A forest room with a monkey on a stand thing, A pedestal with a vase on it, Lakes, A Boat, a volcano city thing (the red one) ",-4,-3,-3,"It was a nice experience and seems like it could have some cool applications, interesting how you can experience a lot standing in one spot. ","I'm not typically prone to motion sickness. However, walking through the museum did make me feel a bit dizzy initially, took some getting used to. ",Making the movements feel more natural/less jerky or off-putting (if that's possible?) ,More museum like rooms 
3,Female,,19,Samoan,,1-2 times,1-2 times,-4,-3,Yes,Mobile,,"Adventure,Shooter,Racing,Survival",,It's a great way to relieve stress from uni :) ,,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-4,No,-5,No,-5,"'- Nest with eggs 
- Pyramid 
- Mammoth 
- Dino 
- North/west sign 
- Boat with water
- Mona Lisa 
- Room full of clocks 
- Room with a face on the wall 
",-5,-4,-1,I liked the layout of the museum and how engaging it was. ,Nothing ,Nothing ,It would be cool to see some of the things inside each room move.
2,Female,,19,Samoan,,1-2 times,1-2 times,-3,-3,Yes,Mobile,,"Adventure,Role-Playing (RPG),Shooter,Simulation,Racing",,they're fun,,No,-3,Yes,-5,Yes,-5,Yes,-4,Yes,-5,Yes,-5,No,-1,No,-4,Yes,-3,Yes,-3,No,-2,Yes,-2,Yes,-2,No,-3,No,-2,Yes,-2,Yes,-3,No,-2,"Mona Lisa painting
",-4,-3,-3,The objects that were placed in the different rooms,not sure,not sure,Make the rooms more spacious
5,Male,,27,Chinese,,3 or more times,3 or more times,-5,-5,Yes,Mobile,,Racing,,for fun,,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,"Fish in a tank, Big ben, Volcano, Grass, two potteries, boat in the sea, painting of Mona Lisa, a Mummy's coffin, Animal in ice, Ladybug on a leaf, pink tree",-4,-3,-4,The contents are really impressive ,N/A,feel a little bit uncomfortable for long time use ,That would be great if an instruction guide at start section 
4,Male,,21,Chinese,,3 or more times,3 or more times,-4,-4,Yes,PC,,"Adventure,Role-Playing (RPG),Shooter,Strategy,Survival,Sandbox",,"Empowerment, capability to do stuff that I wouldn't be able to IRL, creating stories, experience stories from someone else's perspective, cathartic shooting, building beautiful things, overcoming challenges, making my mark upon a virtual world",,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-4,No,-5,No,-4,No,-4,No,-5,Yes,-3,No,-4,No,-5,No,-3,No,-5,No,-3,No,-4,"background objects (railings, walls, the archway entrance), cherry blossom tree, sarcophagus (next to the pyramid), Among Us crewmate statue, Among Us crewmate frozen in ice, frog on top of rock formation next to a lake, boat in ocean",-4,-5,-3,"every room had something new, I got to visit a lot of interesting rooms with themes and objects, much larger than would be possible without VR",Limitations of the VR software reduced my enjoyment of the experience - see limitations section,"No peripheral vision, low-fidelity objects, bland lighting, blurry vision unless I looked at an object in a specific direction, trying not to knock into the walls or desk - various limitations of VR systems as a whole, or that required work into developing the area being traversed",Improved lighting (get effects from shadows and lighting changes)? Moving objects? More interaction with objects?
6,Female,,20,Indian,,0 times,0 times,-4,-4,No,,,,,,I do not have an interest in it ,Yes,-3,Yes,-4,Yes,-5,Yes,-2,Yes,-5,No,-1,Yes,-4,No,-4,No,-3,No,-4,No,-2,Yes,-3,No,-2,No,-3,No,-5,No,-4,No,-4,No,-3,"Cube with a floaty thing inside, among us character, ",-3,-3,-4,Navigating around the rooms and looking at what each room consisted of ,Nothing ,The movements felt limited ,More range of movement 
